,Act_Agri,Act_Min,Act_Manu,Act_elect_agua_gas,Act_const,Act_com_hot_rest,Act_trans_comu_inf,Act_int_fin,Act_inmo_viv,Act_serv_emp,Act_serv_pers,Act_adm_pub,prod_Agri,prod_Min,prod_Manu,prod_elect_agua_gas,prod_const,prod_com_hot_rest,prod_trans_comu_inf,prod_int_fin,prod_inmo_viv,prod_serv_emp,prod_serv_pers,prod_adm_pub,prod_otros,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act_Agri,,,,,,,,,,,,,21362.31205,0,12.86823935,0,0,0,20.13970948,0,0,2607.361464,0,0,0,,,,,,,,,,,,,,,,24002.68146
Act_Min,,,,,,,,,,,,,0,49280.12014,2943.47034,0,0,0,50.44753609,0,1.86944796,1058.121221,0,0,0,,,,,,,,,,,,,,,,53334.02868
Act_Manu,,,,,,,,,,,,,187.1851599,355.3459558,83302.67816,455.2584214,0,3113.246726,223.7463362,0,152.3633859,3525.4196,0,0,0,,,,,,,,,,,,,,,,91315.24375
Act_elect_agua_gas,,,,,,,,,,,,,0,0,111.1484844,15991.61704,19.7909756,4.61392584,35.83099136,0,56.82029592,744.0957445,0,0,0,,,,,,,,,,,,,,,,16963.91745
Act_const,,,,,,,,,,,,,0,0,0,0,38774.86355,0,101.0253368,0,159.5361194,2.448672752,0,0,0,,,,,,,,,,,,,,,,39037.87368
Act_com_hot_rest,,,,,,,,,,,,,6053.40972,129.3504603,38603.71219,3.7991E-18,0,12186.67969,353.890637,0,351.1788238,7150.860354,46.20956713,0,0,,,,,,,,,,,,,,,,64875.29145
Act_trans_comu_inf,,,,,,,,,,,,,0,0,0,0,0,251.6690765,46754.28472,0,133.0825234,1907.392811,4.606973641,0,0,,,,,,,,,,,,,,,,49051.03611
Act_int_fin,,,,,,,,,,,,,0,0,0,4.54747E-16,0,0.145342487,109.7010651,22050.37779,507.4484292,1077.084472,2.841019777,0,0,,,,,,,,,,,,,,,,23747.59812
Act_inmo_viv,,,,,,,,,,,,,0,0,0,0,0,0,12.00162033,0,27130.48379,102.5934044,0,0,0,,,,,,,,,,,,,,,,27245.07882
Act_serv_emp,,,,,,,,,,,,,0,0,0,0,0,96.09252923,270.1015369,0,99.6030813,39601.33815,0,0,0,,,,,,,,,,,,,,,,40067.1353
Act_serv_pers,,,,,,,,,,,,,0,0,0.149582786,0,0,99.80955592,210.7070351,0,65.04723323,1249.442111,48840.48932,0,0,,,,,,,,,,,,,,,,50465.64484
Act_adm_pub,,,,,,,,,,,,,0.458736504,0,15.45468343,259.2309854,0.508117585,0.009893658,580.7520061,0,71.0958522,70.55717476,42.14039421,17391.8825,0,,,,,,,,,,,,,,,,18432.09034
prod_Agri,1886.621358,0.040718651,12834.2371,42.93075299,17.55950631,509.0707575,0,0.827107956,0,6.482946616,99.69256543,25.49095565,,,,,,,,,,,,,,,,7698.253912,,0,,,,,,,,6189.056081,775.053176,72.14880965,30157.46575
prod_Min,33.05564457,4123.300255,7921.644335,2442.96924,233.6222187,1.548224144,0.557164184,0.095493587,0.95248687,1.64034426,0.384732835,5.428372711,,,,,,,,,,,,,,,,-4.97E-15,,0,,,,,,,,42879.1844,0,-131.3026907,57513.08022
prod_Manu,7066.811103,6610.455897,28198.49452,937.3536622,10672.65292,9196.426705,8277.106494,463.2684406,66.4410768,1649.199524,5661.08849,1272.932341,,,,,,,,,,,,,,,,75169.99649,,180.1163188,,,,,,,,28913.33414,24139.82516,-2943.493188,205532.0101
prod_elect_agua_gas,264.1118831,3789.791712,3015.688459,2021.413974,265.4730988,970.0886033,559.8828251,115.6746574,239.9621604,157.9799679,568.9478191,864.052573,,,,,,,,,,,,,,,,4820.94966,,104.5931393,,,,,,,,13.91066677,0,0,17772.5212
prod_const,0,7.94914E-14,0,0,5945.274935,0,9.09495E-16,4.67821E-14,2742.698235,0,1.55164E-15,1.152234902,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,31341.87383,0,40030.99923
prod_com_hot_rest,109.0039992,496.9380084,506.3127271,2.212953033,348.690155,1876.384115,735.5546247,21.22294216,0,224.1556158,168.4984352,124.3613902,,,,,,,,,,,,,,,,12298.5938,,948.6632551,,,,,,,,86.55201397,0,0.00E+00,17947.14404
prod_trans_comu_inf,1066.713366,1967.93232,4790.771123,556.2709859,998.3499931,7086.178342,10035.50241,1188.396785,74.56155062,1569.74233,1021.991756,754.772127,,,,,,,,,,,,,,,,14906.71489,,13.17880643,,,,,,,,3866.928126,4488.613651,0.00E+00,54386.61856
prod_int_fin,298.7758118,439.2824238,793.0400539,774.5425852,547.1661255,1659.13538,953.1138515,7602.014513,667.4758457,891.8248524,268.747405,317.2109508,,,,,,,,,,,,,,,,8816.048994,,209.1807919,,,,,,,,678.4002156,0,0.00E+00,24915.9598
prod_inmo_viv,60.79017125,61.69114548,589.5802658,63.184115,138.6932812,3214.181951,1011.812697,635.0801781,458.9085046,884.9470147,1306.165884,288.9318148,,,,,,,,,,,,,,,,20342.68702,,0,,,,,,,,51.79392079,148.7236858,0.00E+00,29257.17165
