,Act prim,Act manu,Act serv,Prod prim,Prod manu,Prod serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act prim,0,0,0,28.80303928,1.069724034,0.941550196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.81431351
Act manu,0,0,0,0.173565699,62.7237302,1.318426093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.21572199
Act serv,0,0,0,0,1.495441644,87.05236869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.54781033
Prod prim,3.160537558,11.92798422,0.164088987,0,0,0,0,0,1.211591557,0,0.017532975,0,0,0,0,0,0,0,18.40580544,0.257964588,-0.093143005,35.05236232
Prod manu,6.913774788,22.11542081,11.39658985,0,0,0,0,0,23.08991091,0,0.083720262,0,0,0,0,0,0,0,13.48988344,19.34411933,1.268502871,97.70192226
Prod serv,4.445691132,10.25533388,25.79039153,0,0,0,0,0,32.83816807,0,10.39411222,0,0,0,0,0,0,0,7.057476613,3.57663146,0.008150648,94.36595555
Trabajo,2.987826887,7.10108079,24.0441237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.13303138
Capital,13.19175293,11.59595768,24.57159445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.754054151,0,0,54.11335921
Hogares,0,0,0,0,0,0,34.13135949,12.0607358,0,17.4312844,2.107379534,0,5.50676672,0,0,0,0,0,0,0,0,71.23752594
Empresas,0,0,0,0,0,0,0,31.09670939,0,0,0,5.85700513,0,0,0,0,0,0,0,0,0,36.95371452
Gobierno,0,0,0,0,0,0,0,0.9810935,0,0,0,1.6238783,0,5.8828657,1.444853663,0.951001498,7.386976886,0.572763542,0,0,0,18.84343309
Cont_soc,0,0,0,0,0,0,0,0,7.48088343,0,0,0,0,0,0,0,0,0,0,0,0,7.48088343
Pres_soc,0,0,0,0,0,0,0,0,0,1.52339162,3.9833751,0,0,0,0,0,0,0,0,0,0,5.50676672
Imp_dir,0,0,0,0,0,0,0,0,1.208967,4.6738987,0,0,0,0,0,0,0,0,0,0,0,5.8828657
Imp_prod,0.101996533,0.248614455,1.094242675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444853663
Imptos_Espec,0,0.951001498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951001498
IVA,0.012733687,0.020328661,1.48677915,0.254765873,5.033784004,0.578585511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.386976886
Arancel,0,0,0,0.079138214,0.493590157,3.5171E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572763542
row,0,0,0,5.741853248,26.88565222,4.474989424,0.00167188,9.974820551,0,0,0,0,0,0,0,0,0,0,0,0,0,47.07898732
S-I,0,0,0,0,0,0,0,0,5.4080054,13.3251398,2.257313,0,0,0,0,0,0,0,3.371767694,0,0,24.36222589
Var_Exis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183510514,0,1.183510514
Total,30.81431351,64.21572199,88.54781034,35.05236231,97.70192226,94.36595508,34.13303137,54.11335924,71.23752637,36.95371452,18.84343309,7.48088343,5.50676672,5.8828657,1.444853663,0.951001498,7.386976886,0.572763542,47.07898734,24.36222589,1.183510514,0
