,Act prim,Act manu,Act serv,Prod prim,Prod manu,Prod serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,IVA,S-I,Total
Act prim,0,0,0,28.68830906,1.069724034,0.941550196,0,0,0,0,0,0,0,0,0,0,30.69958329
Act manu,0,0,0,0.173565699,61.50378559,1.318426093,0,0,0,0,0,0,0,0,0,0,62.99577738
Act serv,0,0,0,0,1.495441644,84.47134687,0,0,0,0,0,0,0,0,0,0,85.96678851
Prod prim,3.160537558,11.92798422,0.164088987,0,0,0,0,0,13.77354722,0,0.017532975,0,0,0,0,0.164821583,29.20851254
Prod manu,6.913774788,22.11542081,11.39658985,0,0,0,0,0,8.494526177,0,0.083720262,0,0,0,0,20.6126222,69.61665409
Prod serv,4.445691132,10.25533388,25.79039153,0,0,0,0,0,34.32641258,0,10.39411222,0,0,0,0,3.584782108,88.79672345
Trabajo,2.987826887,7.10108079,24.0441237,0,0,0,0,0,0,0,0,0,0,0,0,0,34.13303138
Capital,13.19175293,11.59595768,24.57159445,0,0,0,0,0,0,0,0,0,0,0,0,0,49.35930506
Hogares,0,0,0,0,0,0,34.13303137,17.2815022,0,17.4312844,2.107379534,0,3.11076672,0,0,0,74.06396422
Empresas,0,0,0,0,0,0,0,31.09670939,0,0,0,5.85700513,0,0,0,0,36.95371452
Gobierno,0,0,0,0,0,0,0,0.9810935,0,0,0,1.6238783,0,5.8828657,7.959740428,0,16.44757793
Cont_soc,0,0,0,0,0,0,0,0,7.48088343,0,0,0,0,0,0,0,7.48088343
Pres_soc,0,0,0,0,0,0,0,0,0,1.52339162,1.5873751,0,0,0,0,0,3.11076672
Imp_dir,0,0,0,0,0,0,0,0,1.208967,4.6738987,0,0,0,0,0,0,5.8828657
IVA,0,0,0,0.346637774,5.547702822,2.065399832,0,0,0,0,0,0,0,0,0,0,7.959740428
S-I,0,0,0,0,0,0,0,0,8.779773094,13.3251398,2.257313,0,0,0,0,0,24.36222589
Total,30.6995833,62.99577738,85.96678852,29.20851253,69.61665409,88.79672299,34.13303137,49.35930509,74.0641095,36.95371452,16.44743309,7.48088343,3.11076672,5.8828657,7.959740428,24.36222589,
