"shock","omega","sigma_q","sigma_t","phi","eta","convergio","Variable","Cambio_Pct","Impacto_PIB_Pct","parametro_var","valor_var"
"iva",0.5,2,1.5,0.1,0.5,TRUE,"Tax",0.0064,0.0012,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"FIRMTAX",-0.5315,-0.0253,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"PITAX",-0.4187,-0.0076,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"VAT",0.5262,0.0454,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"TPROD",-0.553,-0.0082,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"TESP",0,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"TARANCEL",-0.5823,-0.0032,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"SAV",-0.4187,-0.0137,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"SAVf",-0.5129,-0.096,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"SAVg",0.5634,0.0125,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"TOTAL_SAV",NA,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"SAVext",0,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"TRGOV",0,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"INC",-0.4187,-0.2901,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"BTINC",-0.4187,-0.2977,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"INGG",-0.0896,-0.0199,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"w__Trabajo_1",-0.0437,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"w__Trabajo_2",-0.0457,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"w__Trabajo_3",-0.0383,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"pk",-0.5315,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"exr",-0.4153,NA,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"inv_adj",-0.0685,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"inv_adj_h",-0.0358,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"inv_adj_f",-0.0831,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"U",-0.0918,-0.0136,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"u_rate__Trabajo_1",4.5732,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"u_rate__Trabajo_2",4.7861,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"u_rate__Trabajo_3",4.0077,0,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"LD__Trabajo_1",-0.4358,-0.0087,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"LD__Trabajo_2",-0.4561,-0.0473,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"LD__Trabajo_3",-0.3819,-0.1079,"omega",0.5
"iva",0.5,2,1.5,0.1,0.5,TRUE,"PIB_real",-0.089359463457761,NA,"omega",0.5
"iva",1,2,1.5,0.1,0.5,TRUE,"Tax",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"FIRMTAX",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"PITAX",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"VAT",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"TPROD",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"TESP",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"TARANCEL",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"SAV",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"SAVf",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"SAVg",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"TOTAL_SAV",NA,NA,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"SAVext",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"TRGOV",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"INC",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"BTINC",0,0,"omega",1
"iva",1,2,1.5,0.1,0.5,TRUE,"INGG",0,0,"omega",1
