"replica","omega","sigma_q","sigma_t","phi","eta","shock","calibracion_ok","shock_ok","pib_real_base","pib_real_shock","var_pib_real_pct","var_c_real_pct","var_i_real_pct","var_x_real_pct","var_m_real_pct","delta_tax_pp_pib","delta_u_pp","norm_calibracion","parametro_var","valor_var"
1,0.5,2,1.5,0.1,0.5,"iva",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.486223977553,"omega",0.5
1,0.5,2,1.5,0.1,0.5,"pit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.486223977553,"omega",0.5
1,0.5,2,1.5,0.1,0.5,"fit",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.486223977553,"omega",0.5
2,0.833333333333333,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281817.71165273,-0.0992870826553305,-0.108199080283844,-0.0694755612313469,-0.174599805968945,-0.123207069561793,0.00142606564535741,0.406973974006852,2.47765041940339e-05,"omega",0.833333333333333
2,0.833333333333333,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281095.325625026,-0.355363532733333,-0.470234958281845,-0.164327876021653,-0.278664571339171,-0.18363541180898,0.0138041881886874,0.75220595904213,2.47765041940339e-05,"omega",0.833333333333333
2,0.833333333333333,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282349.0703624,0.0890726680484066,0.0512019408968056,0.253939699822081,0.0511481174365169,0.0655267674753768,-0.0667992157080938,-0.195940007504877,2.47765041940339e-05,"omega",0.833333333333333
3,1.16666666666667,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281791.182173594,-0.108691437915542,-0.123761445155124,-0.0703939163459899,-0.158925223839834,-0.107852525328156,0.00167267690339423,0.425277590535659,2.47765041939905e-05,"omega",1.16666666666667
3,1.16666666666667,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281046.711941669,-0.372596451120366,-0.498780774925967,-0.165988508283899,-0.249628077287578,-0.155216173011763,0.0142566773685876,0.785781994975418,2.47765041939905e-05,"omega",1.16666666666667
3,1.16666666666667,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282361.530848177,0.0934897481712715,0.0585119924289002,0.25436439209674,0.0437614286816101,0.058285569693628,-0.066911703098127,-0.204528419978429,2.47765041939905e-05,"omega",1.16666666666667
4,1.5,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281766.010305548,-0.117614537704147,-0.138526741869138,-0.071265413593391,-0.144133642006161,-0.0933656937877281,0.00190629803551168,0.442635372009404,2.47765041939322e-05,"omega",1.5
4,1.5,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281000.620054529,-0.388935425551606,-0.525844173314782,-0.167563041651153,-0.222262094535741,-0.12843697070346,0.0146846112137528,0.817597237048532,2.47765041939322e-05,"omega",1.5
4,1.5,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282373.359561237,0.0976828730841817,0.0654512338145175,0.254767718114746,0.0367782265805028,0.0514411094429956,-0.0670184915267213,-0.212678264126288,2.47765041939322e-05,"omega",1.5
5,1.83333333333333,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281742.090159025,-0.126093918495263,-0.15255715541509,-0.0720937128319221,-0.130155109904651,-0.0796778219134042,0.002127961142534,0.459121262765445,2.47765041939438e-05,"omega",1.83333333333333
5,1.83333333333333,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280956.847540497,-0.404452212386697,-0.551544214605637,-0.169058412882295,-0.196429317801905,-0.10316301100769,0.0150900258436976,0.847793549504116,2.47765041939438e-05,"omega",1.83333333333333
5,1.83333333333333,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282384.603799348,0.101668809230349,0.0720474236790336,0.255151274147747,0.0301683348094661,0.0449637095446542,-0.0671200038355885,-0.220422366489512,2.47765041939438e-05,"omega",1.83333333333333
6,2.16666666666667,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281719.326812785,-0.134163228633177,-0.165908433149675,-0.0728820947952791,-0.116926985908927,-0.0667273507951371,0.00233858998417713,0.474801538527206,2.47765041939083e-05,"omega",2.16666666666667
6,2.16666666666667,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280915.21381879,-0.419210825163474,-0.575987107051346,-0.170480806934137,-0.172007511096961,-0.0792742915538436,0.0154747315629727,0.876497446146369,2.47765041939083e-05,"omega",2.16666666666667
6,2.16666666666667,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282395.306295906,0.105462705043036,0.0783256422193013,0.255516502623854,0.0239044729245075,0.0388265409464905,-0.0672166224543941,-0.227790388367007,2.47765041939083e-05,"omega",2.16666666666667
7,2.5,2,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281697.634900847,-0.141852729248493,-0.178630709190064,-0.0736335091833018,-0.104392999313951,-0.0544589818331054,0.00253901380709021,0.489735792582808,2.47765041939026e-05,"omega",2.5
7,2.5,2,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,280875.557202442,-0.433268579808377,-0.599267941674975,-0.171835758866123,-0.148887444657142,-0.0566635767210943,0.0158403440607552,0.903822167423315,2.47765041939026e-05,"omega",2.5
7,2.5,2,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282405.50575191,0.109078279522601,0.0843086033275098,0.255864710035136,0.0179619208792614,0.0330052927588032,-0.0673086940637918,-0.234809194395513,2.47765041939026e-05,"omega",2.5
8,1.5,1,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,282097.798346924,7.08975100849329e-09,0,0,2.30373720100374e-08,0,0,0,2.47765041939308e-05,"sigma_q",1
8,1.5,1,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,282097.798346924,7.08975100849329e-09,0,0,2.30373720100374e-08,0,0,0,2.47765041939308e-05,"sigma_q",1
8,1.5,1,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282097.798346924,7.08975100849329e-09,0,0,2.30373720100374e-08,0,0,0,2.47765041939308e-05,"sigma_q",1
9,1.5,1.5,1.5,0.1,0.5,"iva",TRUE,TRUE,282097.798326924,281768.951848321,-0.116571799054388,-0.136714878742483,-0.0713277733204731,-0.155323568407306,-0.104755569565218,0.00189224196315008,0.440570458269714,2.47765041939332e-05,"sigma_q",1.5
9,1.5,1.5,1.5,0.1,0.5,"pit",TRUE,TRUE,282097.798326924,281006.049921425,-0.387010608368576,-0.522496322441368,-0.167682267050484,-0.243111393330486,-0.149657720932261,0.0146588729843328,0.813776941942932,2.47765041939332e-05,"sigma_q",1.5
9,1.5,1.5,1.5,0.1,0.5,"fit",TRUE,TRUE,282097.798326924,282372.149153413,0.0972537992556255,0.0647022986655532,0.254787043982185,0.0410428306655941,0.0557660627436896,-0.0670111397294781,-0.211842580705052,2.47765041939332e-05,"sigma_q",1.5
